name=RTK_primaries;context=kanji;reversible=False;ordered=True,,,,,,,
meaning,primaries,strokes,hook,index,kanji,kunyo,onyo
,,18,,1563,濫,ラン,
,,23,,1564,鑑,カン,かんが・みる
,,18,,1565,藍,ラン,あい
,,11,,1566,猛,モウ,
,,11,,1567,盛,セイ　　ジョウr,さか・る　　さか・ん　　も・る
,,13,,1568,塩,エン,しお
,,14,,1569,銀,ギン,
,,9,,1570,恨,コン,うら・む　　うら・めしい
,,10,,1571,根,コン,ね
,,7,,1572,即,ソク,
,,17,,1573,爵,シャク,
,,13,,1574,節,セツ　　セチr,ふし
,,8,,1575,退,タイ,しりぞ・く　　しりぞ・ける
,,9,,1576,限,ゲン,かぎ・る
,,11,,1577,眼,ガン　　ゲンr,まなこ
,,7,,1578,良,リョウ,よ・い
,,10,,1579,朗,ロウ,ほが・らか
,,10,,1580,浪,ロウ,
,,10,,1581,娘,,むすめ
,,9,,1582,食,ショク　　ジキr,た・べる　　く・う　　く・らう
,,12,,1583,飯,ハン,めし
,,12,,1584,飲,イン,の・む
,,10,,1585,飢,キ,う・える
,,15,,1586,餓,ガ,
,,13,,1587,飾,ショク,かざ・る
,,14,,1588,餌,ジ,え　　えさ
,,16,,1589,館,カン,やかた
,,14,,1590,餅,ヘイ,もち
,,15,,1591,養,ヨウ,やしな・う
,,13,,1592,飽,ホウ,あ・きる　　あ・かす
,,10,,1593,既,キ,すで・に
,,14,,1594,概,ガイ,
,,13,,1595,慨,ガイ,
,,5,,1596,平,ヘイ　　ビョウ,たい・ら　　ひら
,,8,,1597,呼,コ,よ・ぶ
,,8,,1598,坪,,つぼ
,,12,,1599,評,ヒョウ,
,,4,,1600,刈,,か・る
,,8,,1601,刹,サツ　　セツ,
,,7,,1602,希,キ,
,,4,,1603,凶,キョウ,
,,10,,1604,胸,キョウ,むね　　むなr
,,18,,1605,離,リ,はな・す　　はな・れる
,,14,,1606,璃,リ,
,,10,,1607,殺,サツ　　セツ　　サイr,ころ・す
,,11,,1608,爽,ソウ,さわ・やか
,,10,,1609,純,ジュン,
,,13,,1610,頓,トン,
,,12,,1611,鈍,ドン,にぶ・い　　にぶ・る
,,7,,1612,辛,シン,から・い
,,13,,1613,辞,ジ,や・める
,,11,,1614,梓,シ,あずさ
,,10,,1615,宰,サイ,
,,16,,1616,壁,ヘキ,かべ
,,nodata,,1617,璧,ヘキ,
,,15,,1618,避,ヒ,さ・ける
,,13,,1619,新,シン,あたら・しい　　あら・た　　にい
,,16,,1620,薪,シン,たきぎ
,,16,,1621,親,シン,おや　　した・しい　　した・しむ
,,8,,1622,幸,コウ,さいわ・い　　さち　　しあわ・せ
,,11,,1623,執,シツ　　シュウ,と・る
,,nodata,,1624,摯,シ,
,,12,,1625,報,ホウ,むく・いる
,,6,,1626,叫,キョウ,さけ・ぶ
,,9,,1627,糾,キュウ,
,,5,,1628,収,シュウ,おさ・まる　　おさ・める
,,9,,1629,卑,ヒ,いや・しい　　いや・しむ　　いや・しめる
,,14,,1630,碑,ヒ,
,,11,,1631,陸,リク,
,,13,,1632,睦,ボク,
,,13,,1633,勢,セイ,いきお・い
,,15,,1634,熱,ネツ,あつ・い
,,11,,1635,菱,,ひし
,,11,,1636,陵,リョウ,みささぎ
,,6,,1637,亥,,い
,,10,,1638,核,カク,
,,8,,1639,刻,コク,きざ・む
,,13,,1640,該,ガイ,
,,16,,1641,骸,ガイ,
,,8,,1642,劾,ガイ,
,,7,,1643,述,ジュツ,の・べる
,,11,,1644,術,ジュツ,
,,12,,1645,寒,カン,さむ・い
,,13,,1646,塞,サイ　　ソク,ふさ・がる　　ふさ・ぐ
,,20,,1647,醸,ジョウ,かも・す
,,20,,1648,譲,ジョウ,ゆず・る
,,16,,1649,壌,ジョウ,
,,16,,1650,嬢,ジョウ,
,,8,,1651,毒,ドク,
,,10,,1652,素,ソ　　ス,
,,7,,1653,麦,バク,むぎ
,,8,,1654,青,セイ　　ショウr,あお　　あお・い
,,14,,1655,精,セイ　　ショウr,
,,15,,1656,請,セイ　　シンr,う・ける　　こ・う
,,11,,1657,情,ジョウ　セイr,なさ・け
,,12,,1658,晴,セイ,は・れる　　は・らす
,,11,,1659,清,セイ　　ショウr,きよ・い　　きよ・まる　　きよ・める
,,14,,1660,静,セイ　　ジョウr,しず　　しず・か　　しず・まる　　しず・める
,,11,,1661,責,セキ,せ・める
,,17,,1662,績,セキ,
,,16,,1663,積,セキ,つ・む　　つ・もる
,,13,,1664,債,サイ,
,,14,,1665,漬,,つ・かる　　つ・ける
,,8,,1666,表,ヒョウ,あらわ・す　　あらわ・れる　　おもて
,,10,,1667,俵,ヒョウ,たわら
,,15,,1668,潔,ケツ,いさぎよ・い
,,9,,1669,契,ケイ,ちぎ・る
,,12,,1670,喫,キツ,
,,10,,1671,害,ガイ,
,,17,,1672,轄,カツ,
,,12,,1673,割,カツ,さ・く　　わり　　わ・る　　わ・れる
,,16,,1674,憲,ケン,
,,5,,1675,生,セイ　　ショウ,い・かす　　い・きる　　い・ける　　う・まれる　　う・む　　お・う　　き　　なま　　は・える　　は・やす
,,9,,1676,星,セイ　　ショウr,ほし
,,16,,1677,醒,セイ,
,,8,,1678,姓,セイ　　ショウ,
,,8,,1679,性,セイ　　ショウ,
,,9,,1680,牲,セイ,
,,11,,1681,産,サン,う・む　　う・まれる　　うぶ
,,11,,1682,隆,リュウ,
,,10,,1683,峰,ホウ,みね
,,13,,1684,蜂,ホウ,はち
,,16,,1685,縫,ホウ,ぬ・う
,,8,,1686,拝,ハイ,おが・む
,,7,,1687,寿,ジュ,ことぶき
,,15,,1688,鋳,チュウ,い・る
,,20,,1689,籍,セキ,
,,9,,1690,春,シュン,はる
,,13,,1691,椿,,つばき
,,10,,1692,泰,タイ,
,,9,,1693,奏,ソウ,かな・でる
,,8,,1694,実,ジツ,み　　みの・る
,,8,,1695,奉,ホウ　　ブr,たてまつ・る
,,10,,1696,俸,ホウ,
,,12,,1697,棒,ボウ,
,,17,,1698,謹,キン,つつし・む
,,12,,1699,僅,キン,わず・か
,,12,,1700,勤,キン　　ゴンr,つと・まる　　つと・める
,,13,,1701,漢,カン,
,,13,,1702,嘆,タン,なげ・く　　なげ・かわしい
,,18,,1703,難,ナン,むずか・しい　　かた・い
,,10,,1704,華,カ　　ケr,はな
,,8,,1705,垂,スイ,た・らす　　た・れる
,,11,,1706,唾,スイ,
,,13,,1707,睡,ダ,つば
,,16,,1708,錘,スイ,つむ
,,9,,1709,乗,ジョウ,の・せる　　の・る
,,11,,1710,剰,ジョウ,
,,4,,1711,今,コン　　キン,いま
,,7,,1712,含,ガン,ふく・む　　ふく・める
,,nodata,,1713,貪,ドン,むさぼ・る
,,7,,1714,吟,ギン,
,,8,,1715,念,ネン,
,,nodata,,1716,捻,ネン,
,,12,,1717,琴,キン,こと
,,11,,1718,陰,イン,かげ　　かげ・る
,,4,,1719,予,ヨ,
,,7,,1720,序,ジョ,
,,13,,1721,預,ヨ,あず・かる　　あず・ける
,,11,,1722,野,ヤ,の
,,10,,1723,兼,ケン,か・ねる
,,13,,1724,嫌,ケン　　ゲンr,いや　　きら・う
,,18,,1725,鎌,,かま
,,17,,1726,謙,ケン,
,,13,,1727,廉,レン,
,,6,,1728,西,セイ　　サイ,にし
,,8,,1729,価,カ,あたい
,,9,,1730,要,ヨウ,い・る　　かなめ
,,13,,1731,腰,ヨウ,こし
,,11,,1732,票,ヒョウ,
,,14,,1733,漂,ヒョウ,ただよ・う
,,15,,1734,標,ヒョウ,
,,10,,1735,栗,,くり
,,nodata,,1736,慄,リツ,
,,14,,1737,遷,セン,
,,18,,1738,覆,フク,おお・う　　くつがえ・る　　くつがえ・す
,,13,,1739,煙,エン,けむり　　けむ・い　　けむ・る
,,9,,1740,南,ナン　　ナr,みなみ
,,13,,1741,楠,,くすのき
,,13,,1742,献,ケン　　コンr,
,,8,,1743,門,モン,かど
,,11,,1744,問,モン,と・う　　と・い　　とんr
,,15,,1745,閲,エツ,
,,14,,1746,閥,バツ,
,,12,,1747,間,カン　　ケン,あいだ　　ま
,,17,,1748,闇,,やみ
,,18,,1749,簡,カン,
,,12,,1750,開,カイ,あ・く　　あ・ける　　ひら・く　　ひら・ける
,,11,,1751,閉,ヘイ,し・まる　　し・める　　と・じる　　と・ざす
,,14,,1752,閣,カク,
,,12,,1753,閑,カン,
,,14,,1754,聞,ブン　　モン,き・く　　き・こえる
,,15,,1755,潤,ジュン,うるお・う　　うるお・す　　うる・む
,,20,,1756,欄,ラン,
,,18,,1757,闘,トウ,たたか・う
,,10,,1758,倉,ソウ,くら
,,12,,1759,創,ソウ,つく・る
,,8,,1760,非,ヒ,
,,10,,1761,俳,ハイ,
,,11,,1762,排,ハイ,
,,12,,1763,悲,ヒ,かな・しい　　かな・しむ
,,13,,1764,罪,ザイ,つみ
,,15,,1765,輩,ハイ,
,,12,,1766,扉,ヒ,とびら
,,9,,1767,侯,コウ,
,,12,,1768,喉,コウ,のど
,,10,,1769,候,コウ,そうろう
,,7,,1770,決,ケツ,き・まる　　き・める
,,7,,1771,快,カイ,こころよ・い
,,12,,1772,偉,イ,えら・い
,,12,,1773,違,イ,ちが・う　　ちが・える
,,16,,1774,緯,イ,
,,16,,1775,衛,エイ,
,,18,,1776,韓,カン,
,,3,,1777,干,カン,ほ・す　　ひ・る
,,7,,1778,肝,カン,きも
,,5,,1779,刊,カン,
,,6,,1780,汗,カン,あせ
,,10,,1781,軒,ケン,のき
,,8,,1782,岸,ガン,きし
,,13,,1783,幹,カン,みき
,,6,,1784,芋,,いも
,,6,,1785,宇,ウ,
,,7,,1786,余,ヨ,あま・る　　あま・す
,,10,,1787,除,ジョ　　ジr,のぞ・く
,,10,,1788,徐,ジョ,
,,9,,1789,叙,ジョ,
,,9,,1790,途,ト,
,,11,,1791,斜,シャ,なな・め
,,13,,1792,塗,ト,ぬ・る
,,7,,1793,束,ソク,たば
,,16,,1794,頼,ライ,たの・む　　たの・もしい　　たよ・る
,,19,,1795,瀬,,せ
,,9,,1796,勅,チョク,
,,12,,1797,疎,ソ,うと・い　　うと・む
,,nodata,,1798,辣,ラツ,
,,9,,1799,速,ソク,はや・い　　はや・める　　すみ・やか　　はや・まる
,,16,,1800,整,セイ,ととの・う　　ととの・える
,,10,,1801,剣,ケン,つるぎ
,,11,,1802,険,ケン,けわ・しい
,,12,,1803,検,ケン,
,,10,,1804,倹,ケン,
,,9,,1805,重,ジュウ　　チョウ,おも・い　　かさ・なる　　かさ・ねる　　え
,,11,,1806,動,ドウ,うご・く　　うご・かす
,,13,,1807,腫,シュ,は・らす　　は・れる
,,15,,1808,勲,クン,
,,13,,1809,働,ドウ,はたら・く
,,14,,1810,種,シュ,たね
,,15,,1811,衝,ショウ,
,,16,,1812,薫,クン,かお・る
,,10,,1813,病,ビョウ　　ヘイr,や・む　　やまい
,,13,,1814,痴,チ,
,,12,,1815,痘,トウ,
,,10,,1816,症,ショウ,
,,nodata,,1817,瘍,ヨウ,
,,15,,1818,痩,ソウ,や・せる
,,10,,1819,疾,シツ,
,,13,,1820,嫉,シツ,
,,12,,1821,痢,リ,
,,11,,1822,痕,コン,あと
,,10,,1823,疲,ヒ,つか・れる
,,9,,1824,疫,エキ　　ヤクr,
,,12,,1825,痛,ツウ,いた・い　　いた・む　　いた・める
,,18,,1826,癖,ヘキ,くせ
,,10,,1827,匿,トク,
,,6,,1828,匠,ショウ,
,,7,,1829,医,イ,
,,4,,1830,匹,ヒツ,ひき
,,4,,1831,区,ク,
,,8,,1832,枢,スウ,
,,8,,1833,殴,オウ,なぐ・る
,,8,,1834,欧,オウ,
,,7,,1835,抑,ヨク,おさ・える
,,6,,1836,仰,ギョウ　　コウr,あお・ぐ　　おお・せ
,,6,,1837,迎,ゲイ,むか・える
,,12,,1838,登,トウ　　ト,のぼ・る
,,15,,1839,澄,チョウ,す・む　　す・ます
,,9,,1840,発,ハツ　　ホツ,
,,12,,1841,廃,ハイ,すた・る　　すた・れる
,,14,,1842,僚,リョウ,
,,17,,1843,瞭,リョウ,
,,15,,1844,寮,リョウ,
,,17,,1845,療,リョウ,
,,11,,1846,彫,チョウ,ほ・る
,,7,,1847,形,ケイ　　ギョウ,かたち　　かた
,,15,,1848,影,エイ,かげ
,,7,,1849,杉,,すぎ
,,11,,1850,彩,サイ,いろど・る
,,14,,1851,彰,ショウ,
,,9,,1852,彦,,ひこ
,,18,,1853,顔,ガン,かお
,,12,,1854,須,ス,
,,16,,1855,膨,ボウ,ふく・らむ　　ふく・れる
,,8,,1856,参,サン,まい・る
,,11,,1857,惨,サン　　ザン,みじ・め
,,10,,1858,修,シュウ　　シュr,おさ・まる　　おさ・める
,,9,,1859,珍,チン,めずら・しい
,,12,,1860,診,シン,み・る
,,4,,1861,文,ブン　　モン,ふみ
,,7,,1862,対,タイ　　ツイ,
,,10,,1863,紋,モン,
,,10,,1864,蚊,,か
,,12,,1865,斑,ハン,
,,8,,1866,斉,セイ,
,,10,,1867,剤,ザイ,
,,11,,1868,済,サイ,す・む　　す・ます
,,11,,1869,斎,サイ,
,,11,,1870,粛,シュク,
,,12,,1871,塁,ルイ,
,,13,,1872,楽,ガク　　ラク,たの・しい　　たの・しむ
,,16,,1873,薬,ヤク,くすり
,,11,,1874,率,ソツ　　リツ,ひき・いる
,,11,,1875,渋,ジュウ,しぶ　　しぶ・い　　しぶ・る
,,13,,1876,摂,セツ,
,,5,,1877,央,オウ,
,,8,,1878,英,エイ,
,,9,,1879,映,エイ,うつ・す　　うつ・る　　は・える
,,7,,1880,赤,セキ　　シャクr,あか　　あか・い　　あか・らむ　　あか・らめる
,,11,,1881,赦,シャ,
,,9,,1882,変,ヘン,か・える　　か・わる
,,13,,1883,跡,セキ,あと
,,12,,1884,蛮,バン,
,,10,,1885,恋,レン,こい　　こ・う　　こい・しい
,,12,,1886,湾,ワン,
,,11,,1887,黄,コウ　　オウ,き　　こr
,,15,,1888,横,オウ,よこ
,,7,,1889,把,ハ,
,,6,,1890,色,ショク　　シキ,いろ
,,12,,1891,絶,ゼツ,た・える　　た・つ　　た・やす
,,19,,1892,艶,エン,つや
,,8,,1893,肥,ヒ,こえ　　こ・える　　こ・やし　　こ・やす
,,5,,1894,甘,カン,あま・い　　あま・える　　あま・やかす
,,11,,1895,紺,コン,
,,9,,1896,某,ボウ,
,,16,,1897,謀,ボウ　　ムr,はか・る
,,12,,1898,媒,バイ,
,,12,,1899,欺,ギ,あざむ・く
,,12,,1900,棋,キ,
,,14,,1901,旗,キ,はた
,,12,,1902,期,キ　　ゴr,
,,13,,1903,碁,ゴ,
,,11,,1904,基,キ,もと　　もとい
,,9,,1905,甚,ジン,はなは・だ　　はなは・だしい
,,11,,1906,勘,カン,
,,12,,1907,堪,カン,た・える
,,12,,1908,貴,キ,たっと・い　　たっと・ぶ　　とうと・い　　とうと・ぶ
,,14,,1909,遺,イ　　ユイr,
,,12,,1910,遣,ケン,つか・う　　つか・わす
,,15,,1911,潰,カイ,つぶ・す　　つぶ・れる
,,15,,1912,舞,ブ,ま・う　　まい
,,12,,1913,無,ム　　ブ,な・い
,,11,,1914,組,ソ,くみ　　く・む
,,11,,1915,粗,ソ,あら・い
,,10,,1916,租,ソ,
,,8,,1917,狙,ソ,ねら・う
,,9,,1918,祖,ソ,
,,8,,1919,阻,ソ,はば・む
,,9,,1920,査,サ,
,,7,,1921,助,ジョ,たす・かる　　たす・ける　　すけ
,,8,,1922,宜,ギ,
,,12,,1923,畳,ジョウ,たたみ　　たた・む
,,8,,1924,並,ヘイ,なら・ぶ　　なら・べる　　なら・びに　　なみ
,,12,,1925,普,フ,
,,19,,1926,譜,フ,
,,12,,1927,湿,シツ,しめ・る　　しめ・す
,,18,,1928,顕,ケン,
,,17,,1929,繊,セン,
,,15,,1930,霊,レイ　　リョウ,たま
,,13,,1931,業,ギョウ　　ゴウ,わざ
,,15,,1932,撲,ボク,
,,14,,1933,僕,ボク,
,,6,,1934,共,キョウ,とも
,,8,,1935,供,キョウ　　クr,そな・える　　とも
,,11,,1936,異,イ,こと
,,17,,1937,翼,ヨク,つばさ
,,18,,1938,戴,タイ,
,,9,,1939,洪,コウ,
,,12,,1940,港,コウ,みなと
,,15,,1941,暴,ボウ　　バクr,あば・く　　あば・れる
,,19,,1942,爆,バク,
,,10,,1943,恭,キョウ,うやうや・しい
,,14,,1944,選,セン,えら・ぶ
,,13,,1945,殿,デン　　テン,との　　どの
,,4,,1946,井,セイ　　ショウr,い
,,nodata,,1947,丼,,どんぶり　　どんr
,,7,,1948,囲,イ,かこ・む　　かこ・う
,,10,,1949,耕,コウ,たがや・す
,,7,,1950,亜,ア,
,,11,,1951,悪,アク　　オ,わる・い
,,4,,1952,円,エン,まる・い
,,7,,1953,角,カク,かど　　つの
,,13,,1954,触,ショク,さわ・る　　ふ・れる
,,13,,1955,解,カイ    ゲ,と・く　　と・かす　　と・ける
,,6,,1956,再,サイ　　サr,ふたた・び
,,17,,1957,講,コウ,
,,17,,1958,購,コウ,
,,14,,1959,構,コウ,かま・う　　かま・える
,,13,,1960,溝,コウ,みぞ
,,15,,1961,論,ロン,
,,10,,1962,倫,リン,
,,15,,1963,輪,リン,わ
,,11,,1964,偏,ヘン,かたよ・る
,,11,,1965,遍,ヘン,
,,15,,1966,編,ヘン,あ・む
,,5,,1967,冊,サツ　　サク,
,,9,,1968,柵,サク,
,,8,,1969,典,テン,
,,4,,1970,氏,シ,うじ
,,10,,1971,紙,シ,かみ
,,11,,1972,婚,コン,
,,7,,1973,低,テイ,ひく・い　　ひく・まる　　ひく・める
,,8,,1974,抵,テイ,
,,8,,1975,底,テイ,そこ
,,5,,1976,民,ミン,たみ
,,10,,1977,眠,ミン,ねむ・る　　ねむ・い
,,10,,1978,捕,ホ,つか・まえる　　つか・まる　　と・る　　と・らえる　　と・らわれる
,,nodata,,1979,哺,ホ,
,,10,,1980,浦,,うら
,,14,,1981,蒲,,がま　　かま　　かば
,,15,,1982,舗,ホ,
,,12,,1983,補,ホ,おぎな・う
,,7,,1984,邸,テイ,
,,10,,1985,郭,カク,
,,9,,1986,郡,グン,
,,8,,1987,郊,コウ,
,,10,,1988,部,ブ,
,,10,,1989,都,ト　　ツ,みやこ
,,10,,1990,郵,ユウ,
,,6,,1991,邦,ホウ,
,,6,,1992,那,ナ,
,,10,,1993,郷,キョウ　　ゴウ,
,,20,,1994,響,キョウ,ひび・く
,,8,,1995,郎,ロウ,
,,11,,1996,廊,ロウ,
,,9,,1997,盾,ジュン,たて
,,12,,1998,循,ジュン,
,,9,,1999,派,ハ,
,,10,,2000,脈,ミャク,
,,12,,2001,衆,シュウ　　シュr,
,,9,,2002,逓,テイ,
,,9,,2003,段,ダン,
,,17,,2004,鍛,タン,きた・える
,,6,,2005,后,コウ,
,,4,,2006,幻,ゲン,まぼろし
,,5,,2007,司,シ,
,,7,,2008,伺,シ,うかが・う
,,12,,2009,詞,シ,
,,13,,2010,飼,シ,か・う
,,13,,2011,嗣,シ,
,,6,,2012,舟,シュウ,ふね　　ふなr
,,11,,2013,舶,ハク,
,,10,,2014,航,コウ,
,,11,,2015,舷,ゲン,
,,10,,2016,般,ハン,
,,15,,2017,盤,バン,
,,13,,2018,搬,ハン,
,,11,,2019,船,セン,ふね　　ふなr
,,21,,2020,艦,カン,
,,13,,2021,艇,テイ,
,,5,,2022,瓜,カ,うり
,,9,,2023,弧,コ,
,,9,,2024,孤,コ,
,,18,,2025,繭,ケン,まゆ
,,10,,2026,益,エキ　　ヤクr,
,,13,,2027,暇,カ,ひま
,,15,,2028,敷,フ,し・く
,,7,,2029,来,ライ,く・る　　きた・す　　きた・る
,,6,,2030,気,キ　　ケ,
,,7,,2031,汽,キ,
,,9,,2032,飛,ヒ,と・ぶ　　と・ばす
,,7,,2033,沈,チン,しず・む　　しず・める
,,8,,2034,枕,,まくら
,,8,,2035,妻,サイ,つま
,,10,,2036,凄,セイ,
,,10,,2037,衰,スイ,おとろ・える
,,9,,2038,衷,チュウ,
,,9,,2039,面,メン,おもて　　おも　　つら
,,16,,2040,麺,メン,
,,9,,2041,革,カク,かわ
,,13,,2042,靴,カ,くつ
,,19,,2043,覇,ハ,
,,7,,2044,声,セイ　　ショウr,こえ　　こわr
,,9,,2045,眉,ビ　　ミr,まゆ
,,7,,2046,呉,ゴ,
,,10,,2047,娯,ゴ,
,,14,,2048,誤,ゴ,あやま・る
,,13,,2049,蒸,ジョウ,む・す　　む・らす　　む・れる
,,8,,2050,承,ショウ,うけたまわ・る
,,8,,2051,函,カン,はこ
,,13,,2052,極,キョク　　ゴク,きわ・み　　きわ・まる　　きわ・める
,,4,,2053,牙,ガ　　ゲr,きば
,,8,,2054,芽,ガ,め
,,8,,2055,邪,ジャ,
,,13,,2056,雅,ガ,
,,12,,2057,釈,シャク,
,,12,,2058,番,バン,
,,15,,2059,審,シン,
,,18,,2060,翻,ホン,ひるがえ・す　　ひるがえ・る
,,18,,2061,藩,ハン,
,,4,,2062,毛,モウ,け
,,10,,2063,耗,モウ　　コウr,
,,7,,2064,尾,ビ,お
,,6,,2065,宅,タク,
,,10,,2066,託,タク,
,,9,,2067,為,イ,
,,11,,2068,偽,ギ,いつわ・る　　にせ
,,9,,2069,畏,イ,おそ・れる
,,8,,2070,長,チョウ,なが・い
,,11,,2071,張,チョウ,は・る
,,11,,2072,帳,チョウ,
,,12,,2073,脹,チョウ,
,,14,,2074,髪,ハツ,かみ
,,10,,2075,展,テン,
,,12,,2076,喪,ソウ,も
,,11,,2077,巣,ソウ,す
,,9,,2078,単,タン,
,,13,,2079,戦,セン,たたか・う　　いくさ
,,13,,2080,禅,ゼン,
,,12,,2081,弾,ダン,たま　　はず・む　　ひ・く
,,10,,2082,桜,オウ,さくら
,,16,,2083,獣,ジュウ,けもの
,,11,,2084,脳,ノウ,
,,10,,2085,悩,ノウ,なや・む　　なや・ます
,,17,,2086,厳,ゲン　　ゴンr,きび・しい　　おごそ・か
,,18,,2087,鎖,サ,くさり
,,10,,2088,挙,キョ,あ・がる　　あ・げる
,,13,,2089,誉,ヨ,ほま・れ
,,11,,2090,猟,リョウ,
,,11,,2091,鳥,チョウ,とり
,,14,,2092,鳴,メイ,な・く　　な・る　　な・らす
,,21,,2093,鶴,,つる
,,10,,2094,烏,ウ,からす
,,14,,2095,蔦,,つた
,,13,,2096,鳩,,はと
,,19,,2097,鶏,ケイ,にわとり
,,10,,2098,島,トウ,しま
,,13,,2099,暖,ダン,あたた・か　　あたた・かい　　あたた・まる　　あたた・める
,,12,,2100,媛,エン,ひめr
,,12,,2101,援,エン,
,,15,,2102,緩,カン,ゆる・い　　ゆる・む　　ゆる・める　　ゆる・やか
,,12,,2103,属,ゾク,
,,15,,2104,嘱,ショク,
,,11,,2105,偶,グウ,
,,11,,2106,遇,グウ,
,,13,,2107,愚,グ,おろ・か
,,12,,2108,隅,グウ,すみ
,,8,,2109,逆,ギャク,さか　　さか・らう
,,13,,2110,塑,ソ,
,,14,,2111,遡,ソ,さかのぼ・る
,,8,,2112,岡,,おかr
,,16,,2113,鋼,コウ,はがね
,,14,,2114,綱,コウ,つな
,,10,,2115,剛,ゴウ,
,,6,,2116,缶,カン,
,,11,,2117,陶,トウ,
,,12,,2118,揺,ヨウ,ゆ・れる　　ゆ・る　　ゆ・らぐ　　ゆ・るぐ　　ゆ・さぶる　　ゆ・すぶる　　　ゆ・する
,,16,,2119,謡,ヨウ,うたい　　うた・う
,,nodata,,2120,鬱,ウツ,
,,12,,2121,就,シュウ　　ジュr,つ・く　　つ・ける
,,19,,2122,蹴,シュウ,け・る
,,17,,2123,懇,コン,ねんご・ろ
,,16,,2124,墾,コン,
,,14,,2125,貌,ボウ,
,,8,,2126,免,メン,まぬか・れる
,,10,,2127,逸,イツ,
,,12,,2128,晩,バン,
,,10,,2129,勉,ベン,
,,12,,2130,象,ショウ　　ゾウ,
,,14,,2131,像,ゾウ,
,,10,,2132,馬,バ,うま　　まr
,,15,,2133,駒,,こま
,,18,,2134,験,ケン　ゲンr,
,,18,,2135,騎,キ,
,,15,,2136,駐,チュウ,
,,14,,2137,駆,ク,か・ける　　か・る
,,14,,2138,駅,エキ,
,,18,,2139,騒,ソウ,さわ・ぐ
,,14,,2140,駄,ダ,
,,22,,2141,驚,キョウ,おどろ・く　　おどろ・かす
,,16,,2142,篤,トク,
,,16,,2143,罵,バ,ののし・る
,,20,,2144,騰,トウ,
,,8,,2145,虎,コ,とら
,,13,,2146,虜,リョ,
,,15,,2147,膚,フ,
,,11,,2148,虚,キョ　　コr,
,,15,,2149,戯,ギ,たわむ・れる
,,13,,2150,虞,,おそれ
,,15,,2151,慮,リョ,
,,15,,2152,劇,ゲキ,
,,10,,2153,虐,ギャク,しいた・げる
,,11,,2154,鹿,,しか　　かr
,,19,,2155,麓,ロク,ふもと
,,16,,2156,薦,セン,すす・める
,,15,,2157,慶,ケイ,
,,19,,2158,麗,レイ,うるわ・しい
,,14,,2159,熊,,くま
,,10,,2160,能,ノウ,
,,14,,2161,態,タイ,
,,11,,2162,寅,,とら
,,14,,2163,演,エン,
,,7,,2164,辰,,たつ
,,10,,2165,辱,ジョク,はずかし・める
,,15,,2166,震,シン,ふる・う　　ふる・える
,,10,,2167,振,シン,ふ・る　　ふ・るう　　ふ・れる
,,10,,2168,娠,シン,
,,10,,2169,唇,シン,くちびる
,,13,,2170,農,ノウ,
,,16,,2171,濃,ノウ,こ・い
,,8,,2172,送,ソウ,おく・る
,,14,,2173,関,カン,せき　　かか・わる
,,9,,2174,咲,,さ・く
,,10,,2175,鬼,キ,おに
,,17,,2176,醜,シュウ,みにく・い
,,14,,2177,魂,コン,たましい
,,21,,2178,魔,マ,
,,15,,2179,魅,ミ,
,,13,,2180,塊,カイ,かたまり
,,22,,2181,襲,シュウ,おそ・う
,,17,,2182,嚇,カク,
,,10,,2183,朕,チン,
,,12,,2184,雰,フン,
,,14,,2185,箇,カ,
,,16,,2186,錬,レン,
,,14,,2187,遵,ジュン,
,,15,,2188,罷,ヒ,
,,4,,2189,屯,トン,
,,5,,2190,且,,か・つ
,,19,,2191,藻,ソウ,も
,,16,,2192,隷,レイ,
,,18,,2193,癒,ユ,い・やす 　　い・える
,,19,,2194,璽,ジ,
,,15,,2195,潟,タン,
,,4,,2196,丹,,かた
,,4,,2197,丑,,うし
,,nodata,,2198,羞,シュウ,
,,5,,2199,卯,,う
,,3,,2200,巳,,み
